Player,Team,Pos,Speed,Power,Speed+Power,Def Boost,EPM,EPM Off,EPM Def,Off -12,Off -11,Off -10,Off -9,Off -8,Off -7,Off -6,Off -5,Off -4,Off -3,Off -2,Off -1,Off +0,Off +1,Off +2,Off +3,Off +4,Off +5,Off +6,Off +7,Off +8,Off +9,Off +10,Off +11,Off +12,Off +13,Off +14,Off +15,Off +16,Off +17,Off +18,Total Advantages,Total Disadvantages,Neutral Matchups,Adv by Speed,Adv by Power,Adv by Both,Off Adv Magnitude,Off Dis Magnitude,Off Net Magnitude,Off Mean Roll Bonus,Off Max,Off Min,Off Blunted by Opp Def,Off Neutralised by Opp Def,Def -12,Def -11,Def -10,Def -9,Def -8,Def -7,Def -6,Def -5,Def -4,Def -3,Def -2,Def -1,Def +0,Def +1,Def +2,Def +3,Def +4,Def +5,Def +6,Def +7,Def +8,Def +9,Def +10,Def +11,Def +12,Def +13,Def +14,Def +15,Def +16,Def +17,Def +18,Advantages Allowed,Penalties Forced,Neutrals Allowed,Def Magnitude Allowed,Def Net Magnitude,Def Mean Allowed,Def Blunted (his Def Boost),Def Neutralised (his Def Boost),Net Edge,Budget Net Edge,Def Boost Credit,Net Edge z,EPM z,Residual,Off Residual,Def Residual
Tyrese Maxey,PHI,PG,16,9,25,0,3.0841,2.969,0.1151,0,0,0,0,0,0,0,0,0,0,1,4,13,17,13,22,29,24,41,39,43,43,35,13,10,5,1,0,0,0,0,335,5,13,164,0,171,2287,6,2281,6.4618,14,-2,140,8,0,0,0,0,0,2,7,13,29,37,46,46,36,47,28,21,16,9,4,7,2,1,1,1,0,0,0,0,0,0,0,137,180,36,394,-92,-0.2606,0,0,6.7224,7.119,-0.3966,1.3833,1.391,-0.0077,0.0675,0.8101
Amen Thompson,HOU,PG,14,10,24,1,2.4097,1.1107,1.2991,0,0,0,0,0,0,0,0,0,1,1,3,32,19,29,37,40,41,43,43,35,13,10,5,1,0,0,0,0,0,0,316,5,32,115,11,190,1676,8,1668,4.7252,12,-3,127,17,0,0,0,0,2,7,13,26,37,36,44,35,82,26,18,11,4,7,2,1,1,1,0,0,0,0,0,0,0,0,0,71,200,82,182,-470,-1.3314,106,35,6.0567,6.1161,-0.0595,1.2481,1.1053,0.1427,0.398,0.2619
Kevin Durant,HOU,SF,13,14,27,1,4.0793,3.41,0.6693,0,0,0,0,0,0,0,0,0,0,0,1,7,13,15,26,42,42,60,59,35,28,15,8,2,0,0,0,0,0,0,345,1,7,28,62,255,2066,1,2065,5.8499,12,-1,141,7,0,0,3,9,9,16,37,36,49,45,32,39,44,18,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,275,44,63,-1068,-3.0255,53,19,8.8754,9.1246,-0.2493,1.8207,1.8127,0.0081,-0.3872,1.533
Luka Dončić,LAL,PG,17,13,30,0,6.6209,6.4399,0.181,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,23,19,29,37,40,41,43,43,35,13,10,5,1,0,0,0,350,0,3,49,6,295,2710,0,2710,7.6771,15,0,147,3,0,2,7,13,26,37,36,44,35,48,35,26,17,11,4,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,27,309,17,66,-1426,-4.0397,0,0,11.7167,12.1331,-0.4164,2.398,2.8894,-0.4914,-1.295,2.3889
Trey Murphy III,NOP,SF,12,11,23,-1,1.8653,2.4406,-0.5753,0,0,0,0,0,0,0,0,0,1,1,5,29,35,33,52,59,51,50,18,11,7,1,0,0,0,0,0,0,0,0,317,7,29,69,63,185,1335,10,1325,3.7535,10,-3,119,17,0,0,0,0,6,8,12,24,26,43,41,41,41,34,31,19,10,10,4,1,1,1,0,0,0,0,0,0,0,0,0,111,201,41,291,-361,-1.0227,0,0,4.7762,5.1133,-0.3371,0.9879,0.8747,0.1132,-0.6522,1.7297
Jamal Murray,DEN,PG,15,10,25,-2,2.8891,4.5919,-1.7028,0,0,0,0,0,0,0,0,0,0,2,0,24,18,21,34,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,327,2,24,126,9,192,1970,4,1966,5.5694,13,-2,134,15,0,0,0,0,2,7,13,29,36,43,45,32,48,33,22,18,9,4,7,2,1,1,1,0,0,0,0,0,0,0,0,98,207,48,270,-413,-1.17,0,0,6.7394,7.119,-0.3796,1.3868,1.3084,0.0783,-1.1063,2.7567
Jalen Johnson,ATL,SF,10,12,22,0,1.4169,1.3867,0.0302,0,0,0,0,0,0,0,0,0,1,3,7,36,30,45,41,65,44,30,29,13,7,2,0,0,0,0,0,0,0,0,306,11,36,29,117,160,1293,16,1277,3.6176,10,-3,108,25,0,0,0,0,1,3,11,9,23,34,50,43,45,29,34,21,23,13,7,4,3,0,0,0,0,0,0,0,0,0,0,134,174,45,411,-66,-0.187,0,0,3.8045,4.1105,-0.3059,0.7905,0.6847,0.1058,-0.1529,0.8508
Jabari Smith Jr.,HOU,PF,8,12,20,0,0.4424,0.3785,0.0638,0,0,0,0,0,0,0,0,1,4,8,16,38,32,51,32,51,40,31,27,13,7,2,0,0,0,0,0,0,0,0,286,29,38,9,179,98,1196,48,1148,3.2521,10,-4,85,18,0,0,0,0,0,0,1,5,10,13,31,45,49,46,38,20,34,20,17,12,7,3,2,0,0,0,0,0,0,0,0,199,105,49,707,490,1.3881,0,0,1.864,2.1048,-0.2408,0.3963,0.2719,0.1244,0.2383,0.1406
Anthony Edwards,MIN,SG,14,10,24,-1,2.3833,3.0183,-0.635,0,0,0,0,0,0,0,0,0,1,1,3,32,19,29,37,40,41,43,43,35,13,10,5,1,0,0,0,0,0,0,316,5,32,115,11,190,1676,8,1668,4.7252,12,-3,127,17,0,0,0,0,2,7,13,26,37,36,44,35,47,35,26,18,11,4,7,2,1,1,1,0,0,0,0,0,0,0,0,106,200,47,288,-364,-1.0312,0,0,5.7564,6.1161,-0.3598,1.1871,1.0942,0.0929,-0.5963,1.7843
Jalen Brunson,NYK,PG,16,9,25,-1,2.7785,3.9863,-1.2078,0,0,0,0,0,0,0,0,0,0,1,4,13,17,13,22,29,24,41,39,43,43,35,13,10,5,1,0,0,0,0,335,5,13,164,0,171,2287,6,2281,6.4618,14,-2,140,8,0,0,0,0,0,2,7,13,29,37,46,46,36,47,28,21,16,9,4,7,2,1,1,1,0,0,0,0,0,0,0,137,180,36,394,-92,-0.2606,0,0,6.7224,7.119,-0.3966,1.3833,1.2616,0.1218,-0.4627,1.9404
VJ Edgecombe,PHI,SG,13,7,20,0,0.3679,0.2008,0.1671,0,0,0,0,0,0,0,1,1,5,11,20,32,29,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,0,0,283,38,32,203,0,80,1329,66,1263,3.5779,11,-5,107,15,0,0,0,0,0,0,0,2,7,13,29,37,45,42,37,49,29,22,16,9,4,7,2,1,1,1,0,0,0,0,0,220,88,45,799,627,1.7762,0,0,1.8017,2.1048,-0.3031,0.3836,0.2403,0.1433,0.4507,-0.1156
Nikola Jokić,DEN,C,10,20,30,1,7.4577,6.9086,0.5491,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,6,11,8,16,24,29,47,30,51,40,31,27,13,7,2,351,0,2,0,162,189,3844,0,3844,10.8895,18,0,143,2,0,0,0,0,1,5,10,15,36,50,50,46,56,28,18,16,11,6,3,2,0,0,0,0,0,0,0,0,0,0,0,84,213,56,218,-400,-1.1331,104,20,12.0227,12.1331,-0.1105,2.4602,3.2439,-0.7838,-0.3589,0.8169
James Harden,CLE,PG,14,10,24,-1,2.4092,3.2222,-0.8131,0,0,0,0,0,0,0,0,0,1,1,3,32,19,29,37,40,41,43,43,35,13,10,5,1,0,0,0,0,0,0,316,5,32,115,11,190,1676,8,1668,4.7252,12,-3,127,17,0,0,0,0,2,7,13,26,37,36,44,35,47,35,26,18,11,4,7,2,1,1,1,0,0,0,0,0,0,0,0,106,200,47,288,-364,-1.0312,0,0,5.7564,6.1161,-0.3598,1.1871,1.1051,0.082,-0.7026,1.9365
Paolo Banchero,ORL,PF,8,12,20,0,0.3678,0.4837,-0.1159,0,0,0,0,0,0,0,0,1,4,8,16,38,32,51,32,51,40,31,27,13,7,2,0,0,0,0,0,0,0,0,286,29,38,9,179,98,1196,48,1148,3.2521,10,-4,85,18,0,0,0,0,0,0,1,5,10,13,31,45,49,46,38,20,34,20,17,12,7,3,2,0,0,0,0,0,0,0,0,199,105,49,707,490,1.3881,0,0,1.864,2.1048,-0.2408,0.3963,0.2403,0.156,0.1835,0.2941
Austin Reaves,LAL,SG,14,10,24,0,2.3583,2.3639,-0.0056,0,0,0,0,0,0,0,0,0,1,1,3,32,19,29,37,40,41,43,43,35,13,10,5,1,0,0,0,0,0,0,316,5,32,115,11,190,1676,8,1668,4.7252,12,-3,127,17,0,0,0,0,2,7,13,26,37,36,44,35,47,35,26,18,11,4,7,2,1,1,1,0,0,0,0,0,0,0,0,106,200,47,288,-364,-1.0312,0,0,5.7564,6.1161,-0.3598,1.1871,1.0836,0.1035,-0.2552,1.2466
