name,team,salary,defBoost,chart$,chartNeutral$,chartBonus$,conv$,target$,defence$
"Tyrese Maxey",PHI,1010,0,299,49,250,19,-13,106
"Amen Thompson",HOU,870,1,99,-1,100,17,-13,165
"Kevin Durant",HOU,1190,1,249,49,200,54,49,240
"Luka Dončić",LAL,1420,0,517,161,356,39,-13,276
"Trey Murphy III",NOP,990,-1,163,24,139,37,49,145
"Jamal Murray",DEN,1080,-2,235,62,173,44,49,151
"Jalen Johnson",ATL,910,0,169,49,120,48,-13,103
"Jabari Smith Jr.",HOU,650,0,83,24,59,-41,-13,24
"Anthony Edwards",MIN,1040,-1,220,62,158,30,49,144
"Jalen Brunson",NYK,1060,-1,352,62,291,16,-13,106
"VJ Edgecombe",PHI,590,0,-14,-38,24,13,-13,2
"Nikola Jokić",DEN,1250,1,421,37,384,92,-13,153
"James Harden",CLE,860,-1,117,-50,167,14,-13,144
"Paolo Banchero",ORL,910,0,247,149,98,53,-13,24
"Austin Reaves",LAL,940,0,194,24,170,16,-13,144
"Keegan Murray",SAC,630,1,-14,-13,-1,-13,15,39
"Jaylen Brown",PHI,1100,0,349,174,175,19,-13,145
"Lauri Markkanen",UTA,1080,0,349,74,274,-27,-13,171
"Derrick White",BOS,730,2,-50,-125,76,6,-13,186
"Cade Cunningham",DET,1070,1,239,37,202,37,-13,206
"Brandon Ingram",TOR,670,-1,78,74,4,-15,-13,15
"Desmond Bane",ORL,920,0,174,37,137,-35,49,132
"Donovan Mitchell",CLE,1130,0,348,87,262,5,-13,192
"Devin Booker",PHX,1070,0,332,112,220,8,-13,144
"Cooper Flagg",DAL,860,0,227,161,66,9,-13,35
"Scottie Barnes",TOR,900,2,114,-1,114,32,-13,165
"Nickeil Alexander-Walker",ATL,970,0,188,24,163,29,49,101
"Deni Avdija",POR,1020,-1,265,137,128,21,-13,145
"Alperen Şengün",HOU,800,-1,136,37,99,54,-13,24
"Toumani Camara",POR,430,1,-187,-163,-24,-54,-13,84
"Shai Gilgeous-Alexander",OKC,1420,2,556,174,382,21,-13,259
"Pascal Siakam",IND,960,0,286,99,187,14,-13,74
"LeBron James",PHI,960,0,182,87,95,43,15,119
"OG Anunoby",NYK,820,1,21,-113,134,-37,49,182
"Dyson Daniels",ATL,590,3,-212,-225,13,28,-13,190
"Keyonte George",UTA,810,-2,211,99,112,7,-13,2
"Julius Randle",BKN,830,0,158,49,109,16,-13,65
"Mikal Bridges",NYK,790,1,-14,-38,24,25,15,167
"Jayson Tatum",BOS,1130,1,259,49,210,66,-13,213
"Michael Porter Jr.",BKN,1060,-1,281,74,207,19,-13,168
"Bam Adebayo",MIA,1010,2,196,-1,196,59,-13,170
"Payton Pritchard",BOS,820,-1,158,37,121,17,-13,55
"Kawhi Leonard",LAC,1490,0,496,161,334,52,49,293
"Ryan Rollins",MIL,920,0,178,62,116,45,49,50
"Josh Giddey",CHI,640,-1,-49,-38,-11,70,-13,29
"Evan Mobley",CLE,900,1,100,-1,100,85,15,105
"Immanuel Quickley",TOR,830,0,124,12,112,14,-13,105
"Christian Braun",DEN,390,0,-161,-125,-36,-53,-13,12
"Jaden McDaniels",MIN,720,1,75,49,25,-42,-13,97
"Joel Embiid",PHI,1190,0,453,137,317,67,-13,83
"Kon Knueppel",CHA,1060,0,203,49,154,46,49,166
"Kelly Oubre Jr.",IND,410,0,-90,-26,-64,-54,-13,-36
"Zach LaVine",SAC,860,-2,161,124,37,19,49,29
"Tyler Herro",MIL,970,-1,207,37,170,34,-13,144
"Anthony Davis",WAS,1130,2,315,74,241,99,-13,129
"Andrew Nembhard",IND,660,-1,54,12,42,24,-13,-2
"Rudy Gobert",MIN,550,3,-133,-150,17,-16,-13,111
"DeMar DeRozan",SAC,660,-2,107,161,-55,1,-13,-36
"Saddiq Bey",NOP,770,-1,142,87,55,-26,-13,67
"Jimmy Butler",GSW,1010,0,206,49,157,30,-13,185
"Karl-Anthony Towns",NYK,930,2,75,-125,200,94,-13,171
"De'Aaron Fox",SAS,820,0,111,-1,112,14,-13,105
"Miles Bridges",PHX,800,-1,145,74,71,15,-13,53
"Onyeka Okongwu",ATL,450,0,-154,-163,9,-9,-13,25
"P.J. Washington",DAL,490,1,-45,12,-57,-52,-13,-6
"Stephen Curry",GSW,1220,-1,363,49,314,51,49,155
"Paul George",BOS,930,1,112,37,75,44,49,128
"Devin Vassell",SAS,580,1,-153,-163,10,-44,49,129
"Cameron Johnson",DEN,620,0,-50,-38,-12,-47,49,67
