name,team,salary,defBoost,chart$,conv$,target$,defence$
"Tyrese Maxey",PHI,1010,0,299,19,-13,106
"Amen Thompson",HOU,870,1,99,17,-13,165
"Kevin Durant",HOU,1190,1,249,54,49,240
"Luka Dončić",LAL,1420,0,517,39,-13,276
"Trey Murphy III",NOP,990,-1,163,37,49,145
"Jamal Murray",DEN,1080,-2,235,44,49,151
"Jalen Johnson",ATL,910,0,169,48,-13,103
"Jabari Smith Jr.",HOU,650,0,83,-41,-13,24
"Anthony Edwards",MIN,1040,-1,220,30,49,144
"Jalen Brunson",NYK,1060,-1,352,16,-13,106
"VJ Edgecombe",PHI,590,0,-14,13,-13,2
"Nikola Jokić",DEN,1250,1,421,92,-13,153
"James Harden",CLE,860,-1,117,14,-13,144
"Paolo Banchero",ORL,910,0,247,53,-13,24
"Austin Reaves",LAL,940,0,194,16,-13,144
"Keegan Murray",SAC,630,1,-14,-13,15,39
"Jaylen Brown",PHI,1100,0,349,19,-13,145
"Lauri Markkanen",UTA,1080,0,349,-27,-13,171
"Derrick White",BOS,730,2,-50,6,-13,186
"Cade Cunningham",DET,1070,1,239,37,-13,206
"Brandon Ingram",TOR,670,-1,78,-15,-13,15
"Desmond Bane",ORL,920,0,174,-35,49,132
"Donovan Mitchell",CLE,1130,0,348,5,-13,192
"Devin Booker",PHX,1070,0,332,8,-13,144
"Cooper Flagg",DAL,860,0,227,9,-13,35
"Scottie Barnes",TOR,900,2,114,32,-13,165
"Nickeil Alexander-Walker",ATL,970,0,188,29,49,101
"Deni Avdija",POR,1020,-1,265,21,-13,145
"Alperen Şengün",HOU,800,-1,136,54,-13,24
"Toumani Camara",POR,430,1,-187,-54,-13,84
"Shai Gilgeous-Alexander",OKC,1420,2,556,21,-13,259
"Pascal Siakam",IND,960,0,286,14,-13,74
"LeBron James",PHI,960,0,182,43,15,119
"OG Anunoby",NYK,820,1,21,-37,49,182
"Dyson Daniels",ATL,590,3,-212,28,-13,190
"Keyonte George",UTA,810,-2,211,7,-13,2
"Julius Randle",BKN,830,0,158,16,-13,65
"Mikal Bridges",NYK,790,1,-14,25,15,167
"Jayson Tatum",BOS,1130,1,259,66,-13,213
"Michael Porter Jr.",BKN,1060,-1,281,19,-13,168
"Bam Adebayo",MIA,1010,2,196,59,-13,170
"Payton Pritchard",BOS,820,-1,158,17,-13,55
"Kawhi Leonard",LAC,1490,0,496,52,49,293
"Ryan Rollins",MIL,920,0,178,45,49,50
"Josh Giddey",CHI,640,-1,-49,70,-13,29
"Evan Mobley",CLE,900,1,100,85,15,105
"Immanuel Quickley",TOR,830,0,124,14,-13,105
"Christian Braun",DEN,390,0,-161,-53,-13,12
"Jaden McDaniels",MIN,720,1,75,-42,-13,97
"Joel Embiid",PHI,1190,0,453,67,-13,83
"Kon Knueppel",CHA,1060,0,203,46,49,166
"Kelly Oubre Jr.",IND,410,0,-90,-54,-13,-36
"Zach LaVine",SAC,860,-2,161,19,49,29
"Tyler Herro",MIL,970,-1,207,34,-13,144
"Anthony Davis",WAS,1130,2,315,99,-13,129
"Andrew Nembhard",IND,660,-1,54,24,-13,-2
"Rudy Gobert",MIN,550,3,-133,-16,-13,111
"DeMar DeRozan",SAC,660,-2,107,1,-13,-36
"Saddiq Bey",NOP,770,-1,142,-26,-13,67
"Jimmy Butler",GSW,1010,0,206,30,-13,185
"Karl-Anthony Towns",NYK,930,2,75,94,-13,171
"De'Aaron Fox",SAS,820,0,111,14,-13,105
"Miles Bridges",PHX,800,-1,145,15,-13,53
"Onyeka Okongwu",ATL,450,0,-154,-9,-13,25
"P.J. Washington",DAL,490,1,-45,-52,-13,-6
"Stephen Curry",GSW,1220,-1,363,51,49,155
"Paul George",BOS,930,1,112,44,49,128
"Devin Vassell",SAS,580,1,-153,-44,49,129
"Cameron Johnson",DEN,620,0,-50,-47,49,67
"Dillon Brooks",PHX,830,0,212,-53,-13,87
"Donte DiVincenzo",MIN,680,1,-128,29,49,129
"Brandon Miller",CHA,1140,1,236,49,49,207
"Jaren Jackson Jr.",UTA,860,2,219,-35,-13,87
"RJ Barrett",TOR,940,-1,217,20,-13,116
"Andrew Wiggins",MIA,720,0,4,29,49,42
"Josh Hart",NYK,550,1,-188,36,-13,112
"Ivica Zubac",IND,640,0,32,39,-13,-20
"Franz Wagner",ORL,1100,1,292,23,-13,201
"Bennedict Mathurin",LAC,490,-1,-34,-6,-13,-60
"Stephon Castle",SAS,860,1,81,28,-13,165
"Darius Garland",LAC,900,-1,201,-6,49,53
"CJ McCollum",ATL,820,0,178,-1,-13,50
"Anthony Black",ORL,590,1,-20,-8,-13,30
"Zion Williamson",NOP,810,0,136,14,-13,74
"Jerami Grant",MEM,660,-1,53,-57,49,15
"Domantas Sabonis",SAC,960,0,167,127,-13,82
"Aaron Nesmith",IND,520,0,-2,-52,-13,-10
"Norman Powell",CHI,920,0,210,-32,49,94
"Peyton Watson",CLE,710,0,114,-31,-13,41
"Naji Marshall",DAL,710,0,101,8,-13,15
"Shaedon Sharpe",POR,650,-1,130,-13,-13,-59
"Jrue Holiday",POR,880,1,130,33,-13,128
"Quentin Grimes",LAL,430,0,-104,-15,-13,-39
"Wendell Carter Jr.",ORL,450,1,-139,-17,-13,23
"Victor Wembanyama",SAS,1410,5,518,76,-13,231
"Matas Buzelis",CHI,640,0,84,-35,-13,1
"Max Christie",DAL,390,0,-136,-60,49,-59
"A.J. Green",MIL,330,-2,-201,-55,49,-59
"Russell Westbrook",SAC,590,-1,7,19,-13,-23
"Kyshawn George",WAS,670,0,81,16,-13,-16
"Giannis Antetokounmpo",MIA,1560,1,617,116,-13,237
"Chet Holmgren",OKC,940,3,123,10,-13,219
"Grayson Allen",CHA,860,0,173,0,-13,94
"Davion Mitchell",MIA,420,0,-211,1,-13,43
"Ja Morant",POR,1200,1,491,35,-13,85
"Brandin Podziemski",GSW,750,1,89,6,-13,64
"Collin Gillespie",PHX,650,0,-111,61,49,55
"Marcus Smart",HOU,590,2,-105,-1,-13,109
"Jalen Williams",OKC,1090,1,261,35,-13,207
"Nikola Vučević",ORL,680,0,66,50,-13,-20
"Royce O'Neale",CHA,350,-1,-248,10,49,-60
"Herbert Jones",NOP,350,1,-245,-11,-13,17
"Jaime Jaquez Jr.",MIL,580,-1,48,11,-13,-65
"Rui Hachimura",LAC,420,-1,-101,-62,49,-65
"Jalen Duren",DET,840,1,107,32,-13,109
"LaMelo Ball",MIN,1150,0,344,61,-13,155
"Aaron Gordon",DEN,760,0,-2,41,49,74
"Santi Aldama",DAL,630,0,22,14,-13,2
"Dejounte Murray",NOP,790,1,129,40,-13,36
"Nic Claxton",CHI,570,0,-12,29,-13,-36
"Tobias Harris",SAS,760,0,145,-23,-13,53
"Bub Carrington",WAS,240,-3,-183,-14,49,-215
"Ace Bailey",UTA,390,-1,-21,-50,-13,-131
"Jalen Suggs",ORL,720,2,-23,7,-13,148
"Julian Champagnie",SAS,580,0,-147,-43,49,119
"Draymond Green",GSW,250,0,-257,-13,-13,-65
"Duncan Robinson",DET,580,-1,-138,-45,49,116
"Ayo Dosunmu",MIN,710,0,49,17,49,-9
"Alex Sarr",WAS,710,0,104,42,1,-36
"Deandre Ayton",WAS,530,0,5,1,-13,-69
"Donovan Clingan",POR,830,1,97,84,-13,66
"Kris Dunn",LAC,350,1,-266,1,-13,30
"Jarrett Allen",CLE,770,1,81,-4,-13,108
"John Collins",DET,620,0,104,-40,-13,-36
"Tre Jones",CHI,740,-1,141,9,-13,-2
"Noah Clowney",BKN,420,-1,-44,-31,-13,-97
"Derrick Jones Jr.",LAC,600,1,-54,-54,-13,123
"Jaylon Tyson",CLE,790,0,65,33,49,41
"Myles Turner",MIL,550,0,22,-49,49,-68
"Isaac Okoro",CHI,360,-1,-106,-58,-13,-60
"Luguentz Dort",ATL,230,0,-261,-61,-13,-36
"Tim Hardaway Jr.",MIA,490,-2,-56,-61,49,-39
"Cason Wallace",OKC,560,3,-190,2,-13,162
"Sam Merrill",CLE,610,-1,-58,-50,49,64
"Maxime Raynaud",SAC,360,-2,-39,-25,-13,-166
"Jaylen Wells",MEM,600,-1,71,-48,-13,-10
"Pelle Larsson",MIA,620,0,-7,-7,-13,41
"Jusuf Nurkić",UTA,670,1,22,80,-13,-22
"Miles McBride",NYK,570,0,-155,25,49,50
"Reed Sheppard",HOU,810,0,121,37,49,-2
"Kyle Kuzma",MIL,560,0,13,-1,-13,-36
"Bilal Coulibaly",WAS,610,1,7,1,-13,17
"De'Andre Hunter",SAC,530,-1,62,-34,-13,-84
"Naz Reid",CHA,620,1,37,-23,-13,14
