name,team,pos,defTier,offense,shaped,speed,power,total,defBoost,salary,epmOff,epmDef,epmBasis
"Giannis Antetokounmpo",MIA,PF,"Great defender","elite offense",,12,18,30,1,1770,5.30,1.38,"46g 2025 + 36g 2026"
"Victor Wembanyama",SAS,C,"Elite defender","elite offense",,11,19,30,5,1650,4.30,4.45,"82g 2026"
"Shai Gilgeous-Alexander",OKC,PG,"Elite defender","elite offense",,18,12,30,2,1620,7.33,2.01,"82g 2026"
"Chet Holmgren",OKC,PF,"Elite defender","very good offense",,11,17,28,3,1110,2.20,3.76,"82g 2026"
"Karl-Anthony Towns",NYK,C,"Good defender","very good offense",,10,17,27,2,1290,2.58,0.87,"82g 2026"
"Jayson Tatum",BOS,PF,"Good defender","very good offense",,12,14,26,1,1190,3.11,0.80,"60g 2025 + 22g 2026"
"Bam Adebayo",MIA,C,"Great defender","very good offense",,10,16,26,2,1160,1.52,1.82,"9g 2025 + 73g 2026"
"Derrick White",BOS,SG,"Elite defender","very good offense",,16,10,26,2,940,1.81,2.58,"82g 2026"
"Franz Wagner",ORL,SF,"Good defender","very good offense",,12,13,25,1,1250,2.09,1.10,"44g 2025 + 38g 2026"
"Nikola Jokić",DEN,C,"Average defender","elite offense",YES,5,20,25,1,1210,7.50,0.64,"11g 2025 + 71g 2026"
"Jalen Williams",OKC,SG,"Great defender","above average offense",,13,12,25,1,1190,1.18,1.86,"44g 2025 + 38g 2026"
"Brandon Miller",CHA,SF,"Good defender","very good offense",,13,12,25,1,1150,2.17,0.84,"17g 2025 + 65g 2026"
"Anthony Davis",WAS,PF,"Great defender","very good offense",,9,16,25,2,1140,1.58,1.66,"51g 2025 + 20g 2026"
"OG Anunoby",NYK,PF,"Great defender","above average offense",,11,14,25,1,1070,1.39,1.42,"82g 2026"
"Neemias Queta",BOS,C,"Elite defender","above average offense",,9,16,25,2,890,1.16,2.29,"82g 2026"
"Isaiah Hartenstein",OKC,C,"Elite defender","above average offense",,9,16,25,3,860,0.59,2.93,"20g 2025 + 62g 2026"
"Fred VanVleet",HOU,PG,"Great defender","above average offense",,16,9,25,1,820,1.07,1.76,"carried 2025"
"Ausar Thompson",DET,SF,"Elite defender","",,13,12,25,4,760,-0.84,4.17,"82g 2026"
"Stephon Castle",SAS,PG,"Great defender","above average offense",,14,10,24,1,1070,1.18,1.63,"82g 2026"
"Paul Reed",DET,C,"Elite defender","above average offense",,10,14,24,2,1060,0.90,2.35,"9g 2025 + 73g 2026"
"Ajay Mitchell",OKC,SG,"Great defender","above average offense",,14,10,24,2,1000,-0.23,1.82,"14g 2025 + 68g 2026"
"Scottie Barnes",TOR,PF,"Great defender","above average offense",,10,14,24,2,910,0.84,1.88,"82g 2026"
"Amen Thompson",HOU,PG,"Great defender","above average offense",,14,10,24,1,900,1.29,1.42,"82g 2026"
"Jarrett Allen",CLE,C,"Great defender","very good offense",,9,15,24,1,900,1.61,1.46,"8g 2025 + 74g 2026"
"Dyson Daniels",ATL,SG,"Elite defender","above average offense",,14,10,24,3,810,0.18,2.68,"82g 2026"
"Luka Dončić",LAL,PG,"Average defender","elite offense",YES,17,6,23,0,1380,6.09,0.44,"18g 2025 + 64g 2026"
"Ja Morant",POR,PG,"Average defender","very good offense",YES,15,8,23,1,1310,1.56,0.53,"53g 2025 + 20g 2026"
"Stephen Curry",GSW,PG,"Average defender","elite offense",YES,18,5,23,-1,1290,5.63,-0.70,"39g 2025 + 43g 2026"
"Jalen Suggs",ORL,PG,"Elite defender","above average offense",,14,9,23,2,1060,0.26,2.07,"18g 2025 + 64g 2026"
"Evan Mobley",CLE,PF,"Good defender","above average offense",,9,14,23,1,910,1.16,0.95,"82g 2026"
"Jrue Holiday",POR,PG,"Good defender","above average offense",,14,9,23,1,870,0.94,0.94,"24g 2025 + 58g 2026"
"Donte DiVincenzo",MIN,SG,"Good defender","above average offense",,14,9,23,1,830,0.98,0.75,"82g 2026"
"Mikal Bridges",NYK,SF,"Good defender","above average offense",,12,11,23,1,810,0.87,0.90,"82g 2026"
"Moses Moody",GSW,SG,"Great defender","above average offense",,12,11,23,2,800,0.26,1.51,"22g 2025 + 60g 2026"
"Devin Vassell",SAS,SG,"Average defender","above average offense",YES,14,9,23,1,720,1.40,0.31,"82g 2026"
"Cason Wallace",OKC,SG,"Elite defender","",,14,9,23,3,490,-1.29,3.06,"82g 2026"
"Kawhi Leonard",LAC,SF,"Average defender","elite offense",YES,15,7,22,0,1340,5.48,0.60,"17g 2025 + 65g 2026"
"Paul George",BOS,PF,"Great defender","above average offense",,10,12,22,1,1080,0.38,1.29,"34g 2025 + 48g 2026"
"LaMelo Ball",MIN,PG,"Average defender","elite offense",YES,17,5,22,0,1080,4.72,-0.44,"10g 2025 + 72g 2026"
"Tyrese Haliburton",IND,PG,"Average defender","elite offense",YES,17,5,22,0,960,4.88,-0.72,"carried 2025"
"Sandro Mamukelashvili",LAL,C,"Good defender","above average offense",,9,13,22,1,700,1.14,0.78,"82g 2026"
"Alex Caruso",OKC,SG,"Elite defender","",,12,10,22,3,700,-1.85,3.19,"12g 2025 + 70g 2026"
"Rudy Gobert",MIN,C,"Elite defender","",,8,14,22,3,640,-0.90,2.87,"82g 2026"
"Moussa Diabaté",CHA,C,"Average defender","above average offense",YES,9,13,22,1,610,0.53,0.69,"9g 2025 + 73g 2026"
"Kyrie Irving",DAL,SG,"Average defender","very good offense",YES,16,5,21,-1,1060,3.21,0.19,"carried 2025"
"Jaren Jackson Jr.",UTA,C,"Great defender","above average offense",,8,13,21,2,1050,0.68,1.55,"34g 2025 + 48g 2026"
"Dylan Harper",SAS,SG,"Average defender","above average offense",YES,12,9,21,1,850,-0.05,0.69,"82g 2026"
"Josh Minott",BKN,PF,"Good defender","above average offense",,10,11,21,1,830,-0.67,0.78,"34g 2025 + 48g 2026"
"Day'Ron Sharpe",BKN,C,"Good defender","above average offense",,8,13,21,1,820,-0.18,1.11,"20g 2025 + 62g 2026"
"Josh Hart",NYK,SF,"Average defender","above average offense",YES,12,9,21,1,740,0.24,0.44,"82g 2026"
"Clint Capela",HOU,C,"Elite defender","",,8,13,21,3,730,-1.74,3.25,"3g 2025 + 79g 2026"
"Jordan Goodwin",PHX,PG,"Great defender","above average offense",,13,8,21,2,670,-0.55,1.45,"11g 2025 + 71g 2026"
"Wendell Carter Jr.",ORL,C,"Good defender","above average offense",,7,14,21,1,650,-0.19,1.24,"82g 2026"
"Derrick Jones Jr.",LAC,SF,"Good defender","above average offense",,11,10,21,1,650,-0.37,1.10,"32g 2025 + 50g 2026"
"Robert Williams",POR,C,"Elite defender","",,8,13,21,2,640,-0.97,1.93,"18g 2025 + 64g 2026"
"Marcus Smart",HOU,SG,"Elite defender","",,13,8,21,2,590,-1.00,2.01,"10g 2025 + 72g 2026"
"Joel Embiid",PHI,C,"Average defender","very good offense",YES,4,16,20,0,1170,3.06,0.69,"19g 2025 + 45g 2026"
"Donovan Mitchell",CLE,SG,"Average defender","elite offense",YES,15,5,20,0,1150,5.21,-0.17,"82g 2026"
"Ty Jerome",MEM,SG,"Average defender","elite offense",YES,15,5,20,0,1060,3.71,0.19,"67g 2025 + 15g 2026"
"Damian Lillard",POR,PG,"Average defender","elite offense",YES,16,4,20,-1,1040,3.79,-0.63,"carried 2025"
"Kevin Durant",HOU,SF,"Average defender","very good offense",YES,6,14,20,1,1010,3.40,0.65,"3g 2025 + 79g 2026"
"Cade Cunningham",DET,PG,"Good defender","elite offense",,15,5,20,1,1010,3.63,0.82,"4g 2025 + 78g 2026"
"Jamal Murray",DEN,PG,"Awful defender","elite offense",YES,15,5,20,-2,980,5.08,-1.70,"1g 2025 + 81g 2026"
"Jalen Brunson",NYK,PG,"Bad defender","elite offense",YES,16,4,20,-1,950,3.98,-1.31,"82g 2026"
"Lauri Markkanen",UTA,PF,"Average defender","very good offense",YES,5,15,20,0,880,2.54,-0.00,"40g 2025 + 42g 2026"
"Jalen Duren",DET,C,"Good defender","elite offense",,4,16,20,1,860,3.43,1.12,"82g 2026"
"Tyrese Maxey",PHI,PG,"Average defender","very good offense",YES,16,4,20,0,840,3.17,0.41,"1g 2025 + 81g 2026"
"Jaden McDaniels",MIN,PF,"Great defender","above average offense",,10,10,20,1,750,-0.41,1.36,"82g 2026"
"Toumani Camara",POR,PF,"Good defender","above average offense",,9,11,20,1,670,-0.22,0.92,"82g 2026"
"Brook Lopez",LAC,C,"Great defender","",,7,13,20,2,670,-1.06,1.89,"7g 2025 + 75g 2026"
"Jaylin Williams",OKC,PF,"Elite defender","",,8,12,20,2,660,-0.94,2.09,"2g 2025 + 80g 2026"
"Mitchell Robinson",BOS,C,"Elite defender","above average offense",,8,12,20,2,650,-0.59,1.97,"4g 2025 + 78g 2026"
"Donovan Clingan",POR,C,"Good defender","very good offense",,4,16,20,1,630,1.89,0.72,"82g 2026"
"Gary Payton II",GSW,SG,"Good defender","above average offense",,12,8,20,1,630,-0.15,1.07,"9g 2025 + 73g 2026"
"Javonte Green",DET,SG,"Elite defender","",,12,8,20,2,620,-0.81,1.96,"82g 2026"
"Anthony Edwards",MIN,SG,"Average defender","elite offense",YES,14,5,19,-1,1060,3.54,-0.43,"11g 2025 + 71g 2026"
"Devin Booker",PHX,SG,"Average defender","very good offense",YES,14,5,19,0,1010,2.93,-0.52,"14g 2025 + 68g 2026"
"James Harden",CLE,PG,"Slightly negative defender","elite offense",YES,14,5,19,-1,960,3.86,-1.09,"82g 2026"
"Dejounte Murray",NOP,PG,"Average defender","above average offense",YES,12,7,19,1,950,-0.43,0.53,"31g 2025 + 14g 2026"
"Tyler Herro",MIL,SG,"Average defender","very good offense",YES,14,5,19,-1,940,3.01,-0.82,"49g 2025 + 33g 2026"
"Austin Reaves",LAL,SG,"Average defender","very good offense",YES,14,5,19,0,850,2.85,0.10,"25g 2025 + 57g 2026"
"De'Aaron Fox",SAS,PG,"Average defender","very good offense",YES,15,4,19,0,850,2.39,0.53,"82g 2026"
