name,team,pos,defTier,offense,shaped,speed,power,total,defBoost,salary,epmOff,epmDef,epmBasis
"Giannis Antetokounmpo",MIA,PF,"Great defender","elite offense",,12,18,30,1,1770,5.01,1.25,"46g 2025 + 36g 2026"
"Victor Wembanyama",SAS,C,"Elite defender","elite offense",,11,19,30,5,1650,4.03,4.90,"82g 2026"
"Shai Gilgeous-Alexander",OKC,PG,"Great defender","elite offense",,18,12,30,2,1620,6.62,1.52,"82g 2026"
"Chet Holmgren",OKC,PF,"Elite defender","very good offense",,11,17,28,3,1110,2.22,3.01,"82g 2026"
"Karl-Anthony Towns",NYK,C,"Great defender","very good offense",,10,17,27,2,1290,2.84,1.53,"82g 2026"
"Jayson Tatum",BOS,PF,"Good defender","elite offense",,12,14,26,1,1190,3.42,0.77,"60g 2025 + 22g 2026"
"Bam Adebayo",MIA,C,"Elite defender","very good offense",,10,16,26,2,1160,1.52,1.82,"9g 2025 + 73g 2026"
"Derrick White",BOS,SG,"Elite defender","very good offense",,16,10,26,2,940,1.44,2.37,"82g 2026"
"Franz Wagner",ORL,SF,"Great defender","very good offense",,12,13,25,1,1250,2.18,1.16,"44g 2025 + 38g 2026"
"Nikola Jokić",DEN,C,"Average defender","elite offense",YES,5,20,25,1,1210,7.03,0.54,"11g 2025 + 71g 2026"
"Jalen Williams",OKC,SG,"Elite defender","very good offense",,13,12,25,1,1190,1.34,1.93,"44g 2025 + 38g 2026"
"Brandon Miller",CHA,SF,"Good defender","very good offense",,13,12,25,1,1150,2.17,0.84,"17g 2025 + 65g 2026"
"Anthony Davis",WAS,PF,"Great defender","very good offense",,9,16,25,2,1140,1.96,1.67,"51g 2025 + 20g 2026"
"OG Anunoby",NYK,PF,"Great defender","very good offense",,11,14,25,1,1070,1.81,1.19,"82g 2026"
"Neemias Queta",BOS,C,"Elite defender","above average offense",,9,16,25,2,890,1.05,2.10,"82g 2026"
"Isaiah Hartenstein",OKC,C,"Elite defender","above average offense",,9,16,25,3,860,0.77,2.47,"20g 2025 + 62g 2026"
"Fred VanVleet",HOU,PG,"Great defender","above average offense",,16,9,25,1,820,1.07,1.76,"carried 2025"
